"trip_id","origin_airport","destination","destination_airport","seats","return_flight_booked","departure_time","return_time","checked_bags","trip_airline","destination_airport_lat","destination_airport_lon","base_fare_usd"
"19876-c1e78fa1d9bd40ae9e4f4581ec1d0cff","LGA","austin","AUS","1","true","2022-11-19 07:00:00","2022-11-21 07:00:00","1","Delta Air Lines","30.194","-97.67","445.6"
"20353-fadb2a8d418a459088c9d10e3d1469dd","AUS","philadelphia","PNE","1","true","2022-11-15 16:00:00","2022-11-16 16:00:00","0","Ryanair","39.872","-75.241","404.91"
"21679-acfd5d896b9c436bb4723ebcee753056","FAT","los angeles","LAX","1","true","2022-11-22 12:00:00","2022-11-30 12:00:00","1","KLM Royal Dutch Airlines","33.942","-118.408","63.83"
"22410-d5726e8ff03d481ea35ca604033a5b3f","SKF","montreal","YUL","1","true","2022-11-17 07:00:00","2022-11-25 07:00:00","1","Air Canada","45.517","-73.417","526.57"
"22804-b2713083d24a4c538c0e921dd4b74961","JFK","los angeles","LSQ","1","true","2022-11-25 09:00:00","2022-11-27 09:00:00","1","Delta Air Lines","33.942","-118.408","752.19"
"22919-a05820747b8049b3b9899f5279f6cbd3","EWR","fort worth","FTW","1","true","2022-11-19 14:00:00","2022-11-22 14:00:00","0","American Airlines","32.82","-97.362","384.05"
"22946-353ab7c79e254276a43c42291caffa62","JFK","san diego","SAN","1","true","2022-11-20 07:00:00","2022-11-23 07:00:00","1","JetBlue Airways","32.699","-117.215","847.99"
"23435-a68939e1ddff45b98cf1708953bcc2d5","MEM","edmonton","YXD","1","true","2022-11-19 07:00:00","2022-11-22 07:00:00","0","Delta Air Lines","53.667","-113.467","486.56"
"24317-89caf7c1fa2e42c585fe23058e3ca752","TPA","new york","JFK","1","true","2022-11-21 07:00:00","2022-11-24 07:00:00","1","JetBlue Airways","40.64","-73.779","274.25"
"24415-f2352a893485454199d754b0dd707a59","LUF","new york","LGA","1","true","2022-11-21 08:00:00","2022-11-24 08:00:00","1","Delta Air Lines","40.64","-73.779","664.5"
"25363-7d8f0c165fcb4d32a8f528746725fb4f","SJC","new york","LGA","1","true","2022-11-14 07:00:00","2022-11-16 07:00:00","1","Air France","40.64","-73.779","738.21"
"25536-662138b56ac64c51a78078e50a66cbe8","IAD","new york","LGA","1","false","2022-11-15 13:00:00","","0","KLM Royal Dutch Airlines","40.64","-73.779","31.89"
"25827-a9943c8fc85e4840989d8c0788551a96","ATL","san jose","SJO","1","true","2022-11-17 07:00:00","2022-11-18 07:00:00","0","KLM Royal Dutch Airlines","37.362","-121.929","604.28"
"26392-30f6c17da1724d55b013007c5581d35e","PDX","new york","JFK","1","true","2022-11-20 07:00:00","2022-11-24 07:00:00","0","JetBlue Airways","40.64","-73.779","717.71"
"26512-ec1345f64ac048fe9e15aa0fe050e18b","LGA","montreal","YUL","1","true","2022-11-19 16:00:00","2022-11-25 16:00:00","1","Air Transat","45.517","-73.417","98.82"
"26960-fed6b121367640198d1f98a1ff48d058","JFK","vancouver","YVR","1","true","2022-11-17 10:00:00","2022-11-22 10:00:00","0","Air China","49.195","-123.182","629.46"
"26969-6551b7e4f055457db177048afb612678","SCK","toronto","YTZ","1","true","2022-11-22 07:00:00","2022-11-23 07:00:00","0","Porter Airlines","43.862","-79.37","696.46"
"27645-0a9f846906394e0ba012984cf1738c5b","PHL","houston","EFD","1","true","2022-11-21 16:00:00","2022-11-23 16:00:00","0","United Airlines","29.607","-95.159","381.15"
"27722-f8954a290e6d49f29953ddb6c563fcdf","TUS","philadelphia","PHL","1","true","2022-11-23 12:00:00","2022-11-28 12:00:00","0","JetBlue Airways","39.872","-75.241","565.33"
"27866-787924b869f3462e8e7babd786fa3530","YZD","houston","IAH","1","true","2022-11-17 07:00:00","2022-11-20 07:00:00","1","United Airlines","29.607","-95.159","358.22"
"28719-a3a031f4e08b461795d0295045a17fd5","MCO","new york","JFK","1","true","2022-11-19 12:00:00","2022-11-22 12:00:00","1","Allegiant Air","40.64","-73.779","201.04"
"28755-0543fb0b9a724b0facc8c16882ee865f","PHX","new york","JFK","1","true","2022-11-25 14:00:00","2022-11-29 14:00:00","0","Norwegian Air Shuttle","40.64","-73.779","554.56"
"29895-d9d43f140cab4768a4cc0fed50ef92e4","LSV","memphis","MEM","1","true","2022-11-22 09:00:00","2022-11-26 09:00:00","0","Delta Air Lines","35.042","-89.977","400.6"
"30136-ac34e14d2e4e4a3c9f79b1b8fb5bfbd4","JFK","fort worth","FTW","1","true","2022-11-21 11:00:00","2022-11-23 11:00:00","0","Delta Air Lines","32.82","-97.362","369.55"
"30845-fb9dd90849484cafad82a89608c71a60","AUS","chicago","MDW","1","true","2022-11-18 08:00:00","2022-11-21 08:00:00","0","Southwest Airlines","41.786","-87.752","269.52"
"33083-3546c40526944e49b11b01263b3970d7","YYC","san francisco","SFO","1","true","2022-11-21 14:00:00","2022-11-25 14:00:00","1","Delta Air Lines","37.619","-122.375","307.18"
"33088-6353719998f54c50a5dbc0a9f2a3eee9","CMH","dallas","DAL","1","true","2022-11-20 07:00:00","2022-11-22 07:00:00","0","AirTran Airways","32.847","-96.852","256.03"
"33313-e1b9e06119a14f54bc4a177bd6e0db41","HNL","toronto","YKZ","1","true","2022-11-18 12:00:00","2022-11-18 12:00:00","1","American Airlines","43.862","-79.37","1377.38"
"33738-6cf435a3c799467b8de6d1f56db56d14","YYJ","indianapolis","IND","1","true","2022-11-19 08:00:00","2022-11-21 08:00:00","1","AirTran Airways","39.717","-86.294","568.62"
"34494-d7c4040a73964d39ac22543b07eb4249","AUS","san antonio","SVZ","1","true","2022-11-18 13:00:00","2022-11-20 13:00:00","3","Conviasa","29.529","-98.279","16.47"
"35672-7d51ec6888bc419bbf2184f3f7314df0","LAX","san diego","SAN","1","true","2022-11-22 10:00:00","2022-11-23 10:00:00","0","American Airlines","32.699","-117.215","34.53"
"36086-7e50f9660a9649398ca822bba4e5a961","RAL","los angeles","LAX","4","true","2022-11-20 16:00:00","2022-11-24 16:00:00","1","American Airlines","33.942","-118.408","68.94"
"36261-009790b511e343e2bb489e458ba953b6","YHM","new york","JFK","1","true","2022-11-21 16:00:00","2022-11-24 16:00:00","0","Delta Air Lines","40.64","-73.779","100.11"
"36344-135a3ec0eb264bfca2205758ec3ece81","TNT","oklahoma city","OKC","1","true","2022-11-18 08:00:00","2022-11-23 08:00:00","0","Southwest Airlines","35.393","-97.601","359.09"
"36371-c65b45b92305434588b2f1c6a92f37a9","LGA","houston","IAH","1","true","2022-11-19 16:00:00","2022-11-23 16:00:00","1","Delta Air Lines","29.607","-95.159","420.27"
"36441-4f2f6e819a674a388b264f85a5f9623a","YMX","quebec","YQB","1","true","2022-11-16 13:00:00","2022-11-23 13:00:00","1","Air Canada","46.788","-71.398","43.92"
"36479-741ed906bd9e420594b200829173844e","LGB","los angeles","LAX","1","true","2022-11-21 12:00:00","2022-11-24 12:00:00","0","Transaero Airlines","33.942","-118.408","5.4"
"36675-aefb7b8b4e6d4fc59d9a212a9e804b84","EWR","indianapolis","IND","1","true","2022-11-19 09:00:00","2022-11-22 09:00:00","1","United Airlines","39.717","-86.294","185.54"
"36972-6386d6c153664241aee729f952e65fe2","OFF","los angeles","LAX","2","true","2023-03-03 08:00:00","2023-03-13 08:00:00","1","Southwest Airlines","33.942","-118.408","777.85"
"37339-56dd8d09294b42b29cdd218e57f8c7b3","JFK","chicago","MDW","1","true","2022-11-19 11:00:00","2022-11-24 11:00:00","0","Southwest Airlines","41.786","-87.752","212.53"
"37903-e878f176b1a5427ca674f3628d7aeafa","AUS","new york","JFK","1","true","2022-11-18 11:00:00","2022-11-21 11:00:00","0","Lufthansa","40.64","-73.779","490.96"
"38286-fe5e8f403fc04463a42b16a70732c02b","LSV","san jose","SJI","1","true","2022-11-15 09:00:00","2022-11-17 09:00:00","1","Cebu Pacific","37.362","-121.929","113.19"
"38662-5e17840980fc48ca923262fae89d6fea","IND","quebec","YQB","1","true","2022-11-23 14:00:00","2022-11-25 14:00:00","1","Air Canada","46.788","-71.398","267.92"
"39471-ba1f5bf29ab149268ed3042b25c0d880","MRI","baltimore","BWI","1","true","2022-11-17 12:00:00","2022-11-20 12:00:00","1","Southwest Airlines","39.175","-76.668","922.74"
"39729-0cb0581004d84b1eb3ab6000c13068a7","SJC","new york","JFK","1","true","2022-11-17 15:00:00","2022-11-21 15:00:00","0","United Airlines","40.64","-73.779","662.8"
"40963-85e46af7dc124886a75dff8dd91bd49e","JFK","chicago","MDW","1","true","2022-11-18 11:00:00","2022-11-21 11:00:00","1","AirTran Airways","41.786","-87.752","211.79"
"41984-65355b7e181d42ca8b380e2fff2a4004","NZY","new york","LGA","1","true","2023-01-07 12:00:00","2023-01-17 12:00:00","0","United Airlines","40.64","-73.779","690.62"
"42365-bc5637043fe645019615a8c513021bc3","LGA","vancouver","YVR","1","false","2022-11-18 07:00:00","","2","Air Canada","49.195","-123.182","360.42"
"42634-d14536b649d041da9a57fd513d81c62c","SAT","new york","JFK","2","true","2022-11-18 14:00:00","2022-11-23 14:00:00","0","Allegiant Air","40.64","-73.779","819.72"
"43496-ce066ca54727466db31f7def4cc144c7","LCK","new york","LGA","3","true","2022-11-19 16:00:00","2022-12-08 16:00:00","1","Delta Air Lines","40.64","-73.779","428.79"
"44070-19eb3cf6885f4908b0759268cc4b6389","ELP","fort worth","FTW","1","true","2022-11-21 07:00:00","2022-11-25 07:00:00","0","Delta Air Lines","32.82","-97.362","155.76"
"44697-b58260f1b993486181705290dc72d1c6","ATL","jacksonville","NCA","2","true","2022-11-20 09:00:00","2022-11-23 09:00:00","1","Delta Air Lines","30.494","-81.688","146.95"
"44816-65c2685a83ba41ebb1ac7f1a393b1ba3","LGA","san diego","SAN","1","true","2022-11-18 15:00:00","2022-11-21 15:00:00","1","United Airlines","32.699","-117.215","718.21"
"45243-efe701913c2844ffae4d149e2b391f9a","LAX","dubai","DXB","1","true","2023-03-04 07:00:00","2023-03-26 07:00:00","0","Qantas","25.255","55.364","2038.69"
"45470-7cddc2d3a032415d9fad0dff383c812c","PIE","new york","LGA","3","false","2022-11-18 15:00:00","","4","JetBlue Airways","40.64","-73.779","453.67"
"45552-d326a4ce500a435eaf72bb6ebb6dcca0","YQB","dallas","DAL","1","true","2022-11-18 12:00:00","2022-11-23 12:00:00","1","Southwest Airlines","32.847","-96.852","492.96"
"46136-72d614d6062b4572bb45b02fb0afa50f","YWG","phoenix","PHX","1","true","2022-11-17 07:00:00","2022-11-22 07:00:00","1","Allegiant Air","33.535","-112.383","299.73"
"46728-6faa48188a6e4d46b7b193c2be69955b","SAN","new york","JFK","1","true","2022-11-21 11:00:00","2022-11-24 11:00:00","0","American Airlines","40.64","-73.779","754.11"
"46934-775cab07a2f94a49818aed30077ed535","SJC","austin","AUS","1","false","2022-11-19 07:00:00","","0","American Airlines","30.194","-97.67","212.84"
"47407-891a4e2bb9564797b85c3b88af521115","IAH","portland","PDX","1","true","2022-11-17 07:00:00","2022-11-23 07:00:00","1","Alaska Airlines","45.589","-122.597","542.7"
"47918-163461ef7d334b4fa383a666c2c7205f","DAL","baltimore","BWI","1","true","2022-11-19 13:00:00","2022-11-24 13:00:00","1","AirTran Airways","39.175","-76.668","356.87"
"48094-d65a33f821ff47eca199e93a11fb81b9","LAX","detroit","YIP","1","true","2022-11-15 07:00:00","2022-11-17 07:00:00","0","Ryanair","42.409","-83.01","528.91"
"48297-b80862cc5c554df4bc680a313b1e60bb","YZD","baltimore","BWI","1","true","2022-11-18 14:00:00","2022-11-26 14:00:00","1","Southwest Airlines","39.175","-76.668","108.3"
"48575-3968c542491a4bf6b28a8962b9d4f73e","SLC","winnipeg","YWG","1","true","2022-11-20 07:00:00","2022-11-24 07:00:00","1","Bearskin Lake Air Service","50.056","-97.032","289.29"
"49056-1a1ef64b4bcd4af18e61d8f9c3da9902","YOW","louisville","LOU","1","true","2022-11-17 07:00:00","2022-12-06 07:00:00","0","United Airlines","38.228","-85.664","210.6"
"49065-7236c7302461465d88896e9a345b0497","MCC","istanbul","IST","4","true","2023-02-03 12:00:00","2023-02-11 12:00:00","3","Turkish Airlines","40.977","28.821","7929.18"
"49222-fe7f2b99979643169aa650ee3e4a86a2","JFK","toronto","YKZ","1","true","2022-11-17 12:00:00","2022-11-21 12:00:00","0","American Airlines","43.862","-79.37","111.74"
"51190-560b391c12ed4a3d96c0e56bfb151f94","JFK","chicago","MDW","1","true","2022-11-17 07:00:00","2022-11-20 07:00:00","0","Delta Air Lines","41.786","-87.752","205.58"
"51588-0025e9cbd8b54e61a0828577670a0f58","LGB","mexico city","MEX","2","true","2023-01-07 16:00:00","2023-01-24 16:00:00","1","American Airlines","19.436","-99.072","881.36"
"51749-38bfc87d124c425d94e22bd0310f417f","BNA","new york","JFK","1","true","2022-11-18 08:00:00","2022-11-22 08:00:00","2","American Airlines","40.64","-73.779","224.63"
"51765-4ff698bd59fd4c9a9d59a250a8c6a35f","SAC","calgary","YYC","1","true","2022-11-17 13:00:00","2022-11-24 13:00:00","1","Air Transat","51.114","-114.02","248.58"
"52481-b17df65c3ca546628c56b9542821786b","EFD","columbus","LCK","1","true","2022-11-23 09:00:00","2022-11-27 09:00:00","1","Allegiant Air","39.998","-82.892","287.45"
"52681-eac7bb82c4d540569a216cfbcb6f104a","RIC","fort worth","FTW","1","true","2022-11-17 07:00:00","2022-11-19 07:00:00","0","Delta Air Lines","32.82","-97.362","363.73"
"52819-aec6d6eb70cb4028a49d098f0245099a","LGA","memphis","MEM","1","true","2022-11-18 08:00:00","2022-11-21 08:00:00","1","Delta Air Lines","35.042","-89.977","295.29"
"53387-ea30c23966d140298cc2c8b9a1913b39","YUL","new york","JFK","1","true","2022-11-18 15:00:00","2022-11-22 15:00:00","0","City Connexion Airlines","40.64","-73.779","98.79"
"53847-67cacc908ab34aef94dfb2d554d1e726","LAS","montreal","YHU","1","true","2022-11-19 15:00:00","2022-11-22 15:00:00","1","Ryanair","45.517","-73.417","542.47"
"54564-74c9b6cd35a245ee9987b3a1462eedf6","CLT","houston","IAH","1","false","2022-11-20 07:00:00","","0","United Airlines","29.607","-95.159","135.07"
"54931-40a78709db8244d0aaca1e103a468bc2","BWI","san antonio","SKF","1","true","2022-11-19 09:00:00","2022-11-24 09:00:00","1","Delta Air Lines","29.529","-98.279","408.34"
"55106-7c5419c4216d480c9596ae2a123612ff","JFK","san antonio","RND","1","true","2022-11-18 13:00:00","2022-11-21 13:00:00","2","Ryanair","29.529","-98.279","398.12"
"55699-997a19eb1346440d98370e1ec750d15f","CLT","memphis","MEM","1","true","2022-11-16 07:00:00","2022-11-18 07:00:00","1","American Airlines","35.042","-89.977","145.04"
"55760-7aef9760155241758c435e3a88355b81","BIF","chicago","ORD","2","true","2022-11-17 11:00:00","2022-11-21 11:00:00","0","American Airlines","41.786","-87.752","636.51"
"56543-0dd4c6e1738f46e6851f7eddfed3ce94","LAX","new york","JFK","3","true","2022-11-20 07:00:00","2022-11-23 07:00:00","2","KLM Royal Dutch Airlines","40.64","-73.779","2327.26"
"56568-98c0cf29819c424a82d78940051b0d40","SJC","las vegas","LAS","1","true","2022-11-17 13:00:00","2022-11-20 13:00:00","1","AirTran Airways","36.08","-115.152","106.8"
"56794-d635ad2165e54b70bc27264233185392","LGA","montreal","YMX","2","true","2022-11-23 07:00:00","2022-11-24 07:00:00","1","Delta Air Lines","45.517","-73.417","199.37"
"57572-972a4fcf015b4952920836643dfcbb67","OFF","indianapolis","IND","2","true","2023-02-04 07:00:00","2023-02-16 07:00:00","1","American Airlines","39.717","-86.294","285.69"
"58136-4f8328707d104cad87e77e7ba2892cf6","LGA","los angeles","LSQ","1","true","2022-11-19 16:00:00","2022-11-22 16:00:00","1","Ryanair","33.942","-118.408","705.3"
"59219-2bb99e15ef68430e88f36af8ae0a613e","PWM","chicago","MDW","2","true","2022-11-18 15:00:00","2022-11-22 15:00:00","1","Southwest Airlines","41.786","-87.752","549.14"
"60157-91db3b6ba453485fafc5a686d69c0bf2","MSN","nashville","BNA","1","true","2022-11-20 15:00:00","2022-11-26 15:00:00","0","Southwest Airlines","36.124","-86.678","144.73"
"60211-ad406d8b0ef04a559769866011bca14f","DMA","calgary","YYC","1","true","2022-11-21 07:00:00","2022-11-23 07:00:00","0","WestJet","51.114","-114.02","372.67"
"61742-9a479dc3107d4d5cba8781045c983d23","TLH","austin","AUS","1","true","2022-11-19 12:00:00","2022-11-23 12:00:00","0","AirTran Airways","30.194","-97.67","228.57"
"61845-1204ea1709f645cb978813080b441c1e","SFO","charlotte","CLT","1","true","2022-11-17 11:00:00","2022-11-21 11:00:00","1","JetBlue Airways","35.214","-80.943","610.0"
"62020-650ba917aaa041508c73325bbfb26cf4","EWR","indianapolis","IND","1","true","2022-11-21 13:00:00","2022-12-02 13:00:00","1","Allegiant Air","39.717","-86.294","167.65"
"62164-b9d063c4715d40e39fae19ee2876260a","PHF","jacksonville","NIP","1","true","2022-11-21 16:00:00","2022-11-25 16:00:00","0","United Airlines","30.494","-81.688","154.3"
"62425-ff4d8b53527c4e8c9a04e46181fa230d","YWG","portland","PDX","1","true","2022-11-21 07:00:00","2022-11-25 07:00:00","0","Delta Air Lines","45.589","-122.597","349.91"
"62547-0024202de2b145f78ecde99357e6bbcf","YYZ","sydney","BWU","1","true","2023-02-04 22:00:00","2023-02-13 22:00:00","1","American Airlines","46.161","-60.048","274.29"
"62650-d4e5e676a2e843ccadefdfca7f21e592","ATL","tokyo","NRT","1","true","2023-01-07 18:00:00","2023-01-21 18:00:00","0","Arrow Air","35.765","140.386","1925.72"
"62841-63e84fa279be4b22a591f62db1492a10","LGA","charlotte","CLT","1","true","2022-11-19 12:00:00","2022-11-28 12:00:00","1","American Airlines","35.214","-80.943","148.1"
"63456-2d9599c6c1cb4f1da24512dfdff0f6d8","JFK","quebec","YQB","1","true","2022-11-18 07:00:00","2022-11-20 07:00:00","0","Air Canada","46.788","-71.398","120.34"
"63994-0443fbbd37584e5997727827a2b22353","YWG","new york","JFK","1","true","2022-11-15 07:00:00","2022-11-29 07:00:00","1","American Airlines","40.64","-73.779","360.22"
"64037-643906b266ce4583a67b0492cbbf30a6","NZY","indianapolis","IND","1","true","2022-11-17 07:00:00","2022-11-20 07:00:00","2","AirTran Airways","39.717","-86.294","492.52"
"64081-5425177aa76a4fb5831061af61bb2efe","UGN","jacksonville","JAX","1","true","2022-11-22 11:00:00","2022-11-27 11:00:00","0","American Airlines","30.494","-81.688","245.06"
"64167-d9eadfd9aaba4896a3fff677185bc187","MEM","seattle","SEA","1","true","2022-11-18 10:00:00","2022-11-21 10:00:00","1","Asiana Airlines","47.53","-122.302","525.53"
"64396-7c3077e6404e47449b5ca8e476cade48","DAL","washington","DCA","1","true","2022-11-22 09:00:00","2022-11-27 09:00:00","1","American Airlines","38.852","-77.037","346.66"
"64499-6693379282574f5fb973cdf3819ef449","DAL","prague","PRG","1","true","2023-02-04 22:00:00","2023-02-14 22:00:00","0","Air One","50.101","14.26","1721.59"
"64879-b041cbfb023648ba98ce7aedac99e4b6","EWR","new york","LGA","1","true","2022-11-17 16:00:00","2022-11-21 16:00:00","2","Delta Air Lines","40.64","-73.779","5.85"
"65191-7313272d114a4680a7e4f33be6f006ba","LIT","edmonton","YEG","1","true","2022-11-18 12:00:00","2022-11-20 12:00:00","1","Air Canada","53.667","-113.467","474.02"
"66921-0ebdbd0025524909b1d420d1005fc3a3","YIP","new york","LGA","3","true","2022-11-23 07:00:00","2022-11-26 07:00:00","2","Delta Air Lines","40.64","-73.779","476.53"
"67166-e8c4822918a94dc8a7fd264fe159ea10","SFO","detroit","DET","1","true","2022-11-17 07:00:00","2022-11-20 07:00:00","0","United Airlines","42.409","-83.01","608.01"
"68190-4fef341e64c34562a8c393ebd0c0c265","LGB","phoenix","PHX","1","true","2022-11-17 07:00:00","2022-11-23 07:00:00","0","Southwest Airlines","33.535","-112.383","90.73"
"68268-da8d1474caf1430a89bbb8bbc0738f59","LAX","baltimore","BWI","1","true","2022-11-21 07:00:00","2022-11-25 07:00:00","0","AirTran Airways","39.175","-76.668","658.78"
"68885-7559af36a0fb477188f7bdcd78847059","PHX","denver","DEN","1","true","2022-11-19 07:00:00","2022-11-19 07:00:00","1","AirTran Airways","39.858","-104.667","186.37"
"69149-cf7fb06023d340b69a765aaf5f779c4b","YYZ","san antonio","RND","1","true","2022-11-18 09:00:00","2022-11-25 09:00:00","1","Ryanair","29.529","-98.279","316.51"
"69556-9fb0f8ffe37a4de89253a8f9733fd111","OPF","seattle","SEA","1","true","2022-11-17 15:00:00","2022-11-23 15:00:00","0","Alaska Airlines","47.53","-122.302","774.1"
"69628-7c03333f8365435996e10201c4318d1b","YAV","los angeles","LAX","1","true","2022-11-18 15:00:00","2022-11-25 15:00:00","0","China Eastern Airlines","33.942","-118.408","426.23"
"70185-95784444d2214138b7287f0342fd377b","CLT","jacksonville","LRF","1","true","2022-11-17 07:00:00","2022-11-22 07:00:00","1","United Airlines","30.494","-81.688","96.82"
"70508-7dfd0967939e4f239772f7a7e7a2b9c1","LAX","toronto","YYZ","1","true","2022-11-21 09:00:00","2022-11-22 09:00:00","0","Air Canada","43.862","-79.37","670.48"
"70942-6b001ed5cd594d239ab53000cf687b51","BAD","shenzhen","SZX","1","true","2023-02-04 19:00:00","2023-02-14 19:00:00","0","China Southern Airlines","22.639","113.812","2363.45"
"71281-58dd78d17ac64f019fcc703af1520aab","LAX","milwaukee","MKE","1","true","2022-11-17 09:00:00","2022-11-22 09:00:00","1","Southwest Airlines","42.947","-87.896","468.08"
"71372-72e18726cc0c4bdabf93c0142d396ef4","SJC","portland","PWM","1","true","2022-11-19 07:00:00","2022-11-21 07:00:00","1","Air France","45.589","-122.597","145.49"
