"trip_id","hotel_name","nights","rooms","check_in_time","check_out_time","hotel_per_room_usd"
"287690-52f6a2fbdd2840029e2fbd52c4f680d9","Crowne Plaza - ottawa","6","1","2023-10-16 17:11:36.375","2023-10-23 11:00:00","82"
"288331-0e4b56320c8d410fb09868dc41827ea9","Hyatt - san francisco","5","1","2023-06-04 17:33:24.66","2023-06-10 11:00:00","248"
"288375-b28edfbdabd5441195f6a97bd24f7f7e","Radisson  - vancouver","2","1","2023-06-03 11:10:34.59","2023-06-05 11:00:00","57"
"288859-60e92ecc2d3c41be9727f0882b2618a0","InterContinental  - san antonio","2","1","2023-06-12 09:28:12.855","2023-06-14 11:00:00","83"
"289585-cac3ce9581844a729036a439aebb8092","Rosewood - san jose","21","1","2023-06-02 13:51:28.62","2023-06-24 11:00:00","147"
"290171-39758fdeb4a9419eab138c62b1a4406e","Fairmont - san jose","2","1","2023-06-02 18:10:44.895","2023-06-05 11:00:00","321"
"290284-0b0930a0eab2464f84c079fbca003bcf","Crowne Plaza - winnipeg","1","1","2023-06-06 17:42:58.95","2023-06-08 11:00:00","88"
"290534-deaf4dec62864468840015743cc116c4","Fairmont - edmonton","2","1","2023-06-01 18:36:13.455","2023-06-04 11:00:00","246"
"290718-b8ebedc06c24418fb1412a9e3890099e","Marriott  - nashville","1","1","2023-06-03 10:52:37.245","2023-06-04 11:00:00","443"
"290754-7d0d69ebe51540a8b3f921372d15ad48","Aman Resorts - phoenix","6","1","2023-06-09 12:45:11.925","2023-06-16 11:00:00","45"
"290826-0bbb50d77a35425685e54abb97d8470a","Fairmont - columbus","6","1","2023-06-12 11:00:00","2023-06-18 11:00:00","245"
"291055-8841d52cab844f8483218e3d149e3f46","InterContinental  - charlotte","5","1","2023-06-03 18:10:08.895","2023-06-09 11:00:00","71"
"291396-7202cc56b58346c0807e364767f74a05","Best Western - houston","1","1","2023-06-03 09:58:11.145","2023-06-04 11:00:00","210"
"291906-633f8cb6edbc4a4a9e40241e868fe753","Choice Hotels - portland","8","1","2023-06-12 21:25:30.18","2023-06-21 11:00:00","378"
"291956-65220af6e6974f5da3eabdd11cd7508c","Banyan Tree  - toronto","3","2","2023-06-10 11:16:17.94","2023-06-13 11:00:00","80"
"292241-f25677526c1a4df4b775bfc772afc108","Best Western - detroit","1","1","2023-06-04 09:33:12.51","2023-06-05 11:00:00","98"
"292522-13025d6f10fa42008f28f05d9b6a4ff9","Conrad  - phoenix","3","1","2023-06-04 21:13:37.245","2023-06-08 11:00:00","138"
"293250-4a7ac5b3e83f414cb7eb3e528d8f4db3","Four Seasons - new york","3","1","2023-06-06 14:28:59.7","2023-06-10 11:00:00","140"
"293601-b8fa592617a247308bfe600246efacdd","Accor - chicago","2","1","2023-06-05 12:30:52.155","2023-06-08 11:00:00","63"
"293812-a1b10235a1004c989580667ff806a61c","Hilton - baltimore","3","1","2023-06-04 15:40:29.82","2023-06-08 11:00:00","163"
"293991-f64981124bf24726b22a3a12da411577","Crowne Plaza - fort worth","5","2","2023-06-09 11:30:21.465","2023-06-14 11:00:00","74"
"294244-2d34ef1c0d804efcaf1981fdd04ea151","NH Hotel  - new york","3","2","2023-06-07 09:22:30.72","2023-06-10 11:00:00","89"
"294344-ca9062f750fe447c83e403b49d0bb3be","Marriott  - san antonio","3","1","2023-06-19 11:00:00","2023-06-22 11:00:00","131"
"294373-eea13bcd0c3e440f9b9c7267fbc96c86","Banyan Tree  - san jose","1","1","2023-06-06 12:15:45.765","2023-06-08 11:00:00","88"
"295409-23ff4103029f4d17bee827de0731cce4","Hyatt - vancouver","2","1","2023-06-07 16:10:54.03","2023-06-10 11:00:00","101"
"296346-52d0fc325dcf4ad08d5de937e9b6336f","Shangri-La - milwaukee","0","1","2023-06-08 20:01:22.44","2023-06-09 11:00:00","82"
"296777-e44083ec82af49fba04d14a8d9882108","Choice Hotels - toronto","0","1","2023-06-02 09:53:03.66","2023-06-02 11:00:00","211"
"296932-dfa75413fa334ab78d62d5dbf7fbe12a","Wyndham - dallas","1","1","2023-06-09 10:37:03.45","2023-06-10 11:00:00","245"
"297158-93799d54a5c2421fa9a457ae8385d9bd","Radisson  - san antonio","0","2","2023-06-08 16:28:12.855","2023-06-09 11:00:00","96"
"297673-64354293a3b64b8e817477010ae6278e","Best Western - houston","1","2","2023-06-04 10:43:49.845","2023-06-05 11:00:00","191"
"297989-0d01219f474846d4a410d4f3e3c003e4","Marriott  - washington","2","1","2023-06-03 09:25:39.81","2023-06-05 11:00:00","60"
"298166-454baa1f883543789ae2765d7ffb33e2","Hyatt - oklahoma city","1","1","2023-06-05 19:31:53.04","2023-06-07 11:00:00","170"
"298306-3e2a02ee759043c7bfb53c1b2114d019","Accor - new york","2","1","2023-06-06 11:18:32.175","2023-06-08 11:00:00","157"
"298351-caf12ce5b74347478062f30d9ed9c042","Wyndham - oklahoma city","5","1","2023-06-08 11:00:00","2023-06-13 11:00:00","187"
"298528-0da32b41e9464e58928cf54e612d6fe5","Extended Stay  - louisville","14","3","2023-10-16 00:40:23.25","2023-10-30 11:00:00","68"
"299105-16d133b656524c31a8f0d9629f44b02a","Radisson  - chicago","3","1","2023-06-03 18:13:32.475","2023-06-07 11:00:00","186"
"299941-78106cb4ad574367985482ac317d1e7e","Extended Stay  - los angeles","3","1","2023-06-04 10:40:44.535","2023-06-07 11:00:00","32"
"300842-a293f0afe77c4e278898fedf9a863fc9","Extended Stay  - winnipeg","1","1","2023-06-03 15:53:08.025","2023-06-05 11:00:00","42"
"301082-9a125087bd3d4a7eb271a58cb7f07dcf","Four Seasons - phoenix","7","1","2023-06-10 11:00:00","2023-06-17 11:00:00","571"
"301616-aa630e1610b44d77a0a938c523716a14","Starwood  - dublin","9","1","2024-01-09 04:07:33.105","2024-01-18 11:00:00","123"
"302362-6bd0e25b26664febb45e7e6584594de6","Fairmont - new york","2","1","2023-06-09 10:42:43.83","2023-06-11 11:00:00","181"
"302761-6e0933e6801d4f37afe6a675379f6119","InterContinental  - los angeles","1","1","2023-06-05 12:30:09.945","2023-06-07 11:00:00","494"
"302814-946836e47fc744a2b71f599e8819127c","InterContinental  - montreal","2","1","2023-06-05 11:54:10.395","2023-06-07 11:00:00","94"
"303392-6ff7294d602940159ff50d823982b306","Conrad  - charlotte","0","1","2023-06-06 19:04:25.815","2023-06-07 11:00:00","224"
"304937-682de5381bd84931b9bca26fde27229b","Radisson  - phuket","18","1","2024-04-02 11:21:23.895","2024-04-20 11:00:00","223"
"305341-52fdd3503d814e5dbc39ca46e00c9f4b","Aman Resorts - guangzhou","17","1","2024-04-01 23:46:49.35","2024-04-19 11:00:00","331"
"306343-fe58b28de9034ec79c6eadcb936169b1","NH Hotel  - oklahoma city","2","1","2023-06-04 12:16:54.03","2023-06-07 11:00:00","209"
"306796-e836a0a36419420ab0c4e2d4f4ff84b5","InterContinental  - louisville","4","1","2023-06-04 15:37:10.425","2023-06-09 11:00:00","192"
"307481-95df50cd39204ed588cbc14ec41bd462","Four Seasons - san diego","1","1","2023-06-06 18:58:35.175","2023-06-08 11:00:00","133"
"308086-ee6d00b5823645e89ef1b396880f6325","NH Hotel  - new york","2","1","2023-06-05 11:00:00","2023-06-07 11:00:00","58"
"308875-0c731dbd425b49a1975835e1144be578","Crowne Plaza - los angeles","3","1","2023-06-06 15:46:36.255","2023-06-10 11:00:00","73"
"308883-1edc853371764e8184bc9117e7b1bd41","Conrad  - new york","4","1","2023-06-02 09:40:15.87","2023-06-06 11:00:00","142"
"309908-0df17c0fedf64d529526f45e619d5348","Wyndham - new york","2","2","2023-06-07 12:12:41.895","2023-06-10 11:00:00","39"
"309932-32988f3eb39840efa567b02bc90a1a06","Rosewood - new york","1","3","2023-06-04 11:11:17.745","2023-06-05 11:00:00","164"
"310533-15206f9c0e3046a28e5a2a8b4d3a62b9","Wyndham - fort worth","5","1","2023-06-07 10:44:47.985","2023-06-12 11:00:00","244"
"311139-999bc98526e3405fac7a52b67f79dca1","Marriott  - montreal","1","1","2023-06-03 09:38:49.2","2023-06-04 11:00:00","672"
"311241-f71738fe1a104e4eb76086ecd14df1ff","Choice Hotels - winnipeg","2","1","2023-06-01 16:35:10.185","2023-06-04 11:00:00","385"
"311556-a0790c4153a046b186938b62d2ad0a12","Best Western - seattle","4","1","2023-06-09 13:07:51.33","2023-06-14 11:00:00","286"
"311595-bfe6b6c3ffd6480aad7b6a2224764a36","InterContinental  - new york","0","1","2023-06-05 18:19:14.88","2023-06-06 11:00:00","158"
"312351-7ab8891fb6144329b3e1e86837ccae79","Rosewood - toronto","4","1","2023-06-05 12:42:32.58","2023-06-10 11:00:00","116"
"312632-f17b85c8ce5a44f881f22e81c4d389a0","Banyan Tree  - new york","15","2","2023-06-02 11:00:00","2023-06-17 11:00:00","240"
"312905-31bc1ad252724ee4adf64be91d574d0f","Fairmont - seoul","14","1","2023-12-12 04:31:27.165","2023-12-26 11:00:00","66"
"312961-c12b6400ab6c4cf8aeb5a8b6eb9b2b65","Rosewood - new york","2","1","2023-06-06 13:46:41.16","2023-06-09 11:00:00","108"
"313143-ec901d41292346b58646f59ecb6c5f32","Extended Stay  - san antonio","3","1","2023-06-06 16:45:50.985","2023-06-10 11:00:00","116"
"313177-bbf086cbe52e414daf840aad334b6ad7","Extended Stay  - ottawa","6","1","2023-06-05 13:24:50.445","2023-06-12 11:00:00","309"
"313672-55ffd1513d8240d7b7d15205bb032a1b","Best Western - calgary","3","1","2023-06-02 11:00:00","2023-06-05 11:00:00","175"
"313682-73321b1faa744532b7647dbad8360d11","Marriott  - phoenix","9","1","2023-06-03 13:26:40.065","2023-06-13 11:00:00","216"
"315460-4ae859c09c6b4e349f545a844e0ce39d","Wyndham - columbus","2","1","2023-06-06 10:50:50.82","2023-06-08 11:00:00","360"
"315627-55347e92602e4088a8e1605268fcc61e","InterContinental  - new york","2","2","2023-06-06 13:24:36","2023-06-09 11:00:00","352"
"315763-c2d767c8457345c1a7471773f0ebb7ba","Best Western - los angeles","2","1","2023-06-05 11:25:39.495","2023-06-07 11:00:00","119"
"316188-49b264dd46bd41eca291deba88d08693","Accor - san jose","3","1","2023-06-07 21:09:21.555","2023-06-11 11:00:00","91"
"316616-8ab4b9e5a4004675b6013fffa89657a2","Best Western - seattle","2","1","2023-06-06 19:27:05.715","2023-06-09 11:00:00","174"
"316823-3b7090f87afc42498014e2c896eb7149","Best Western - denver","2","1","2023-06-04 14:07:29.82","2023-06-07 11:00:00","112"
"316876-21fd10439f6f459382a94d45fcc75e96","Banyan Tree  - toronto","7","1","2023-06-04 10:12:30.915","2023-06-11 11:00:00","79"
"317333-3590bc2328a746e1b40f5ee778f8673f","NH Hotel  - new york","5","1","2023-06-01 11:00:00","2023-06-06 11:00:00","79"
"318326-ce248a17b8da4c9db0c555f9086e7d59","Wyndham - ottawa","5","1","2023-06-08 11:00:00","2023-06-13 11:00:00","286"
"318545-0993dea60a22469f98a1b5dfcb5cdf13","Crowne Plaza - milwaukee","0","1","2023-06-04 18:25:38.865","2023-06-05 11:00:00","175"
"318681-c8ca39652d7b4d7399729780feb74916","Starwood  - montreal","4","2","2023-06-14 11:00:00","2023-06-18 11:00:00","69"
"318746-d6c5ba69cf834b25aa0c16b40cc0915b","Shangri-La - ottawa","9","1","2023-06-04 11:00:00","2023-06-13 11:00:00","245"
"319297-9b2bb0a4dbf04eefbfbd8a291cdf05c5","Rosewood - charlotte","3","1","2023-06-08 12:57:52.56","2023-06-12 11:00:00","168"
"319979-0f5687de90e84a3e856b3765e9664f5b","Four Seasons - chicago","2","1","2023-06-04 21:28:37.785","2023-06-07 11:00:00","114"
"320661-ce88e9fc0dab40b1af4dbae49062a3ea","Marriott  - portland","7","1","2023-12-11 10:06:28.845","2023-12-18 11:00:00","148"
"320917-e504c783c17d414882e7fa2958629b10","Crowne Plaza - los angeles","4","1","2023-06-07 13:57:24.3","2023-06-12 11:00:00","208"
"321081-b129c1c591454df2899ca8dacfefef25","Banyan Tree  - portland","1","1","2023-06-05 18:57:27.81","2023-06-07 11:00:00","93"
"321656-a97ea01886644803abe484dc0d9d16e7","Hilton - quebec","2","1","2023-06-06 20:03:11.655","2023-06-09 11:00:00","89"
"321680-ade77ba269bc458abfd231677bc8f875","Accor - detroit","7","3","2023-06-08 18:12:28.665","2023-06-16 11:00:00","166"
"322454-1b3a88aed1f14390aacea7e8ed857daa","Marriott  - houston","6","2","2023-06-03 13:18:48.105","2023-06-10 11:00:00","108"
"322563-52400e18b4f74bd7a8a4fcdeb5465d72","Accor - memphis","12","1","2023-06-02 21:37:38.595","2023-06-15 11:00:00","375"
"323536-f501e2846ee14de5b920106ceb536dda","Accor - new york","1","1","2023-06-03 13:19:20.055","2023-06-05 11:00:00","100"
"323783-d3eda15aa8394ae7b100e5dd87294a2a","NH Hotel  - las vegas","2","1","2023-06-05 18:55:02.775","2023-06-08 11:00:00","103"
"324130-559130b916dc4b18855952df16bce3cc","Radisson  - columbus","12","1","2023-06-02 11:00:00","2023-06-14 11:00:00","112"
"325104-02763ff3aaab4b028a350e3956ef03c0","Marriott  - new york","3","1","2023-06-05 10:11:17.745","2023-06-08 11:00:00","200"
"325873-54e1d798473449028cde3ddd63092766","Aman Resorts - stockholm","13","1","2024-03-04 21:08:02.04","2024-03-18 11:00:00","120"
"325926-a17ebc6bbfb0495c8eb577054092478b","Choice Hotels - denver","4","1","2023-06-06 13:14:57.525","2023-06-11 11:00:00","173"
"325929-57a79c9f3d52482aaa8981fff06eca3b","Accor - new york","2","1","2023-06-04 22:19:20.055","2023-06-07 11:00:00","96"
"325953-f8f18da27f594e419b142611256be7de","Hyatt - fort worth","0","1","2023-06-02 09:03:34.83","2023-06-02 11:00:00","191"
"326243-59767d73c723432188513bfb0c8533e9","Marriott  - chengdu","7","1","2024-01-08 09:06:56.43","2024-01-15 11:00:00","325"
"327635-cfd076fc9b394ef49d35119d06f68fb5","Wyndham - houston","1","1","2023-06-04 12:18:47.835","2023-06-06 11:00:00","149"
"328112-fbb1e85fe4c54f8d8660b04939dde67e","NH Hotel  - las vegas","3","1","2023-06-10 18:37:28.11","2023-06-14 11:00:00","114"
"328738-a4fc592bcf3b483daf8601556f7c9b04","Wyndham - phoenix","1","1","2023-06-06 14:38:55.77","2023-06-08 11:00:00","70"
"328950-4efb2f6579964affaa9ccb378c8de94f","Crowne Plaza - fresno","1","1","2023-05-31 13:57:17.775","2023-06-02 11:00:00","127"
"329017-a8bce337468b4c0f8584636451a450cd","Choice Hotels - denver","3","1","2023-06-08 10:43:54.615","2023-06-11 11:00:00","40"
"329454-b988271910534cff91d79259fff67997","Starwood  - quebec","2","1","2023-06-05 20:12:01.215","2023-06-08 11:00:00","175"
"329958-7342cd0dd51843dab87fe02a7e70afd6","InterContinental  - new york","4","1","2023-06-05 18:58:03.945","2023-06-10 11:00:00","100"
"329979-45b8e48461f6445897cf782e8f62af9b","Four Seasons - philadelphia","2","1","2023-06-02 11:41:03.075","2023-06-04 11:00:00","188"
"330111-a2b4558a0f71423b870ca53d78444e41","Best Western - los angeles","10","1","2023-06-07 11:00:00","2023-06-17 11:00:00","264"
"330595-d875135ccc614067ad344e6dfcc6ad7a","Starwood  - fort worth","5","1","2023-06-02 11:00:00","2023-06-07 11:00:00","68"
"330662-4972fc048b964704acbabe1043132c28","Aman Resorts - seattle","9","2","2023-06-01 12:28:37.785","2023-06-11 11:00:00","85"
"330712-b1b422fd9e0b41a8a5920b0b57e76313","Extended Stay  - johor bahru","16","1","2024-01-09 06:31:47.685","2024-01-25 11:00:00","110"
"330852-d669352017b643e9aa64c87f60d80d0b","Four Seasons - detroit","1","1","2023-06-02 09:50:21.435","2023-06-03 11:00:00","195"
"330993-bb5a8f4fea51486485814663a8edb4a5","Best Western - san francisco","2","1","2023-06-02 19:42:24.705","2023-06-05 11:00:00","152"
"331111-4d381e57081444d0a82318076bab0574","Starwood  - new york","2","2","2023-06-03 20:58:03.945","2023-06-06 11:00:00","141"
"332440-cb5a9025e26e45e989ec049c6ceb816b","Four Seasons - toronto","1","1","2023-06-03 09:42:32.58","2023-06-04 11:00:00","180"
"332602-c41ccc7b7d654d0b8115d4d2d4011568","Aman Resorts - detroit","1","1","2023-06-02 11:00:00","2023-06-03 11:00:00","97"
"332858-ecbee911ba6f4fc99110c85b204c65ac","Starwood  - san francisco","2","1","2023-06-02 13:23:14.055","2023-06-05 11:00:00","151"
"334014-252af0fea9b84b9988fd8f5a1e2d4c8e","Hyatt - chicago","0","1","2023-06-05 10:27:17.775","2023-06-05 11:00:00","178"
"334377-0031dc5487b149c0a763eb8c8aeb15c0","Wyndham - edmonton","6","1","2023-06-04 19:28:49.485","2023-06-11 11:00:00","41"
"334732-1a118949f5a744d998722517edb6925d","Extended Stay  - new york","0","1","2023-06-04 13:19:04.89","2023-06-05 11:00:00","50"
"335334-8b9c7510fef54cc798cead58f3773abf","Marriott  - baltimore","1","1","2023-06-02 14:26:01.995","2023-06-04 11:00:00","110"
"335540-30253759b30e4c498ad03de1c736b0f5","Radisson  - new york","4","2","2023-06-03 09:27:28.665","2023-06-07 11:00:00","425"
"335882-c568c7eaa2a64d02a4361d5a48ccbf8a","Aman Resorts - austin","5","1","2023-06-26 11:00:00","2023-07-01 11:00:00","241"
"336124-1af6776f14834f07b4d75b3efba880fc","Four Seasons - charlotte","1","1","2023-06-01 13:53:15","2023-06-03 11:00:00","152"
"336444-2942e75138f14638a143f6faf9035321","Starwood  - milwaukee","1","1","2023-06-06 11:29:44.52","2023-06-07 11:00:00","79"
"336475-a1cf85887b5249b9b13f3d9d8be588f1","Wyndham - new york","4","1","2023-05-31 11:00:00","2023-06-04 11:00:00","255"
"336958-ceaf4a10070b4a35a5c08bb2b73c4406","Starwood  - columbus","1","1","2023-06-07 09:37:10.965","2023-06-08 11:00:00","385"
"337462-71766ae762d548f08a0b42906436d2e6","Four Seasons - new york","9","2","2023-06-15 11:00:00","2023-06-24 11:00:00","245"
"337502-4a9ba17adabc41bfad50998bcb1c6fa6","Choice Hotels - las vegas","1","1","2023-06-12 20:30:41.76","2023-06-14 11:00:00","118"
"337686-66b3afce3b1940399865eb9e8d6845a3","Banyan Tree  - new york","10","1","2023-06-09 11:00:00","2023-06-19 11:00:00","133"
"337955-714c73357f7c499d9166d352c6fe5da0","Best Western - houston","0","1","2023-06-05 12:22:38.37","2023-06-06 11:00:00","186"
"338005-8fcc67c935d844d683d875fa90a48a42","Conrad  - chicago","4","1","2023-06-06 11:00:00","2023-06-10 11:00:00","455"
"338317-cc2ff542d8144f12afed9f09e2595a22","Shangri-La - denver","10","1","2023-06-07 11:43:11.01","2023-06-17 11:00:00","98"
"338602-ccf0e960c0404d24b7c9a375b85f88d8","Aman Resorts - san antonio","1","1","2023-06-05 15:27:09.855","2023-06-07 11:00:00","142"
"338769-d6c4c5b83347467bb406be9b9e7d0345","Extended Stay  - new york","16","1","2024-01-08 02:55:34.005","2024-01-24 11:00:00","330"
"339383-9a429f49f7914e69b18a54fdcf7d495a","Wyndham - columbus","2","1","2023-06-08 15:50:50.82","2023-06-11 11:00:00","315"
