"session_id","user_id","trip_id","session_start","session_end","flight_discount","hotel_discount","flight_discount_amount","hotel_discount_amount","flight_booked","hotel_booked","page_clicks","cancellation"
"415083-24fbad8469bd42f2a48083092ea4bc97","415083","","2023-03-10 19:20:00","2023-03-10 19:21:36","false","false","","","false","false","13","false"
"415196-dafc424453c74c64b9fdd5e2a637841c","415196","415196-6f7b5f5c862f417fae486c46b29f9fcc","2023-03-10 15:45:00","2023-03-10 15:47:24","false","false","","","true","true","19","false"
"415245-f9111c8d53d648689f9779aafc58e95a","415245","","2023-03-10 21:32:00","2023-03-10 21:32:16","false","false","","","false","false","2","false"
"415247-4339a37601054f2fa72ddbb6965fff5e","415247","","2023-03-10 21:23:00","2023-03-10 21:25:07","true","false","0.3","","false","false","17","false"
"415278-c8d5395ca62547d6a81f7975e92b8d65","415278","415278-2f8c6f87b9ea4ea3a6efc321d00a8dfa","2023-03-10 18:23:00","2023-03-10 18:25:44","false","false","","","true","true","22","false"
"415279-33a5e9c88e9441c5a0783145a50f70f7","415279","","2023-03-10 10:58:00","2023-03-10 11:00:31","true","false","0.15","","false","false","20","false"
"415286-edf2983a537345e2aeeb82687aa4cc7a","415286","","2023-03-10 17:49:00","2023-03-10 17:49:37","false","false","","","false","false","5","false"
"415289-fcbe652997fe4233bf8779615aec4896","415289","","2023-03-10 14:52:00","2023-03-10 14:56:23","false","false","","","false","false","35","false"
"415300-389389dcfd164ffc9c08f00e0af7e48f","415300","","2023-03-10 06:13:00","2023-03-10 06:13:59","false","false","","","false","false","8","false"
"415468-3e023f23a303436c9d38cd84bf50b1ac","415468","","2023-03-10 02:00:00","2023-03-10 02:01:34","false","false","","","false","false","13","false"
"415492-c44e193e2aab40d58eaf9b026ae28905","415492","","2023-03-10 18:16:00","2023-03-10 18:16:38","false","false","","","false","false","5","false"
"415540-3e47c983b5624ae39cbac35ec868c499","415540","415540-bfb19996a98f4e8094bb0456b74863d6","2023-03-10 23:26:00","2023-03-10 23:28:40","false","false","","","true","true","22","false"
"415563-fc95c0ecea6f49ecaa017e059881d946","415563","","2023-03-10 16:43:00","2023-03-10 16:43:30","false","false","","","false","false","4","false"
"415628-cd3dba71ebc34d6586b554d05d1bd44e","415628","415628-19ce543d1b4d495a8ac8f5cad53c05aa","2023-03-10 17:54:00","2023-03-10 17:58:34","false","false","","","true","true","37","false"
"415670-8dd70b7a811348fe86a4fbcc1ed6a467","415670","","2023-03-10 21:09:00","2023-03-10 21:10:13","false","false","","","false","false","10","false"
"415687-c845facd88d4487c8562d9c6e0406f80","415687","415687-f164293b68104216b3ef8b0dee8a0bf8","2023-03-10 21:31:00","2023-03-10 21:32:59","false","false","","","true","true","16","false"
"415771-4ee7df080cb447489a88777b19d10697","415771","415771-3338ff7af63c4f58b3a7d926d1cdbc21","2023-03-10 06:42:00","2023-03-10 06:48:14","false","false","","","true","true","51","false"
"415810-7ebd56e2db9c4aa2b2fad196a05a6cf8","415810","415810-f6889e946de14cdead82b7c4c150e42d","2023-03-10 18:40:00","2023-03-10 18:42:45","false","false","","","true","true","22","false"
"415817-1de8075380004862804ce8c3a3eb6ce9","415817","","2023-03-10 08:25:00","2023-03-10 08:25:24","false","false","","","false","false","3","false"
"415823-28abe7dceaf942d783db8f02120cee43","415823","","2023-03-10 19:33:00","2023-03-10 19:33:15","false","false","","","false","false","2","false"
"415848-caf11c5ef5a049069a82fd673fd4373c","415848","415848-710668d0165f4578a9185ffbfb1b73fc","2023-03-10 23:24:00","2023-03-10 23:26:25","false","false","","","true","true","19","false"
"415882-8684dd2d2d27486ba99b60fd8aabad19","415882","415882-7b3fb0c5201844c3aa5e74ef2cf47d9b","2023-03-10 14:06:00","2023-03-10 14:08:16","false","false","","","true","true","18","false"
"415913-3f03891af9a143d884b9ba1765447f0f","415913","415913-ab448f13596743868b142a9fa5787f8e","2023-03-10 17:10:00","2023-03-10 17:11:56","false","false","","","true","true","16","false"
"415923-f0f0b9e8e6d442f0ac5e22f53a59ad7b","415923","","2023-03-10 09:20:00","2023-03-10 09:20:16","false","false","","","false","false","2","false"
"415935-7d517fe04a4a4d73a6ccb3f0235f8536","415935","415935-0e6786e9496842da94726201641480ef","2023-03-10 15:04:00","2023-03-10 15:05:23","false","false","","","true","false","11","false"
"415971-b33d663a3626479e9f2383822447f02e","415971","415971-488cd4be9ae8464b984694224dbdfa94","2023-03-10 13:32:00","2023-03-10 13:33:34","true","false","0.1","","false","true","13","false"
"416046-e72d256eadaa4bd0b6314e08c415e8d4","416046","","2023-03-10 20:45:00","2023-03-10 20:45:59","false","true","","0.15","false","false","8","false"
"416067-48691807127c4ee48e3b5bfca1e59c55","416067","","2023-03-10 04:23:00","2023-03-10 04:23:15","false","false","","","false","false","2","false"
"416122-7b5d7454cf534ddba6bfab350c48b912","416122","","2023-03-10 20:50:00","2023-03-10 20:52:36","false","false","","","false","false","21","false"
"416203-9659afaa2df84387a87d045a19a62b0a","416203","","2023-03-10 16:01:00","2023-03-10 16:01:37","false","false","","","false","false","5","false"
"416232-07184eaf006a4e72a242344b456c7ecd","416232","416232-f40d4376fe144f0dbc2da796cf11b1a3","2023-03-10 15:07:00","2023-03-10 15:09:17","false","false","","","true","true","18","false"
"416332-5c29a52383634d6cbb7705b402015dc7","416332","","2023-03-10 11:15:00","2023-03-10 11:16:40","false","false","","","false","false","13","false"
"416365-b89af0c9e8494339a330a7f18c6365ac","416365","","2023-03-10 18:23:00","2023-03-10 18:24:32","false","true","","0.1","false","false","12","false"
"416387-c19671a29a4f46c096bfb882e8e59219","416387","","2023-03-10 22:41:00","2023-03-10 22:44:10","false","false","","","false","false","25","false"
"416413-433e3aed69f749bbb80bd36ae7f8b464","416413","","2023-03-10 12:21:00","2023-03-10 12:22:35","false","false","","","false","false","13","false"
"416543-7bd650e4abae4434bfacca42090f4d11","416543","416543-b1350bef252d4fdbafc4e505e0bb1501","2023-03-10 18:20:00","2023-03-10 18:22:12","false","false","","","true","true","18","false"
"416567-7b02f1e3b05543b8a4302dcefe3b3c60","416567","416567-6f3f981736dd4471887ad108423cb6e2","2023-03-10 19:03:00","2023-03-10 19:05:41","false","false","","","false","true","22","false"
"416605-ca77f14cea654c12b8035ac934b0fefd","416605","416605-dd3ca06cbcfd47d7a06e8af85f30512b","2023-03-10 19:27:00","2023-03-10 19:28:36","false","false","","","false","true","13","false"
"416781-175f802f2d9043558fa4686db2a5e4b7","416781","416781-898cc74f138b48fb804ecf76d825dba4","2023-03-10 19:31:00","2023-03-10 19:33:16","false","false","","","true","true","18","false"
"416796-f57eb65fcb25459da3aee6b0726d1b97","416796","","2023-03-10 07:07:00","2023-03-10 07:08:00","false","false","","","false","false","8","false"
"416906-146d75df708f41f38732cfc336e876a9","416906","","2023-03-10 10:08:00","2023-03-10 10:09:00","false","true","","0.1","false","false","8","false"
"416990-e1b3cddb9e1b4507bff44f97b447940e","416990","416990-1575db2e134b42f593530553589e6dcc","2023-03-10 18:26:00","2023-03-10 18:28:30","false","false","","","true","true","20","false"
"417008-1fdd64baefe8412b928c652ef0a4a792","417008","417008-beceeb722d8749d08710044347d43363","2023-03-10 21:06:00","2023-03-10 21:08:37","false","false","","","true","true","21","false"
"417056-f6cc41a7676049aa8b1cff40dac21a4e","417056","417056-c4658374169348abae4a8e42fd2d7a05","2023-03-10 14:20:00","2023-03-10 14:23:42","false","false","","","false","true","30","false"
"417059-b30e603add744203b8117e1c61680065","417059","","2023-03-10 14:17:00","2023-03-10 14:18:17","true","false","0.05","","false","false","10","false"
"417111-c23cbbc751784a86a6c902c803b9f883","417111","417111-756f3395d1eb4dff869f5c0c7d45a2ca","2023-03-10 18:53:00","2023-03-10 19:00:14","false","false","","","false","true","58","false"
"417148-ef9a3cda5b814413ab1b4e24f8a8093c","417148","","2023-03-10 20:34:00","2023-03-10 20:34:22","false","false","","","false","false","3","false"
"417179-e38980e6a14946b88537f2774551c8dd","417179","417179-e00f78a764f54dfda9073e7157a34ded","2023-03-10 17:47:00","2023-03-10 17:49:39","false","false","","","true","true","22","false"
"417341-b8d316348ad942f8bc932b1a927318d8","417341","417341-e691240fa5db46e3863e8ee0b276e1fd","2023-03-10 20:32:00","2023-03-10 20:37:11","true","false","0.1","","true","true","42","false"
"417346-9ec0e149dc0440b9816eac3e1e40bb97","417346","","2023-03-10 12:24:00","2023-03-10 12:24:38","false","false","","","false","false","5","false"
"417436-4863d8da4c2b4c70b4e19246fcd74b3f","417436","","2023-03-10 18:50:00","2023-03-10 18:50:46","false","false","","","false","false","6","false"
"417452-680ebe0ebbcc41e0afaef0b696988b5b","417452","","2023-03-10 18:52:00","2023-03-10 18:53:31","false","false","","","false","false","12","false"
"417506-44d2d994700d44efb1cf2d6106c845cd","417506","","2023-03-10 17:33:00","2023-03-10 17:34:32","false","false","","","false","false","12","false"
"417512-768137c1e9634f34b276de13a1f2a9bc","417512","","2023-03-10 07:07:00","2023-03-10 07:07:46","false","false","","","false","false","6","false"
"417559-5b6cef6409d241e4a53463d22822655c","417559","","2023-03-10 17:48:00","2023-03-10 17:49:23","false","false","","","false","false","11","false"
"417613-cdd93c63a2df48c39fad9e147f0778ab","417613","417613-7e5b30fe72314023b5845fb63bf9f4a2","2023-03-10 15:54:00","2023-03-10 16:00:52","false","false","","","true","true","55","false"
"417623-7e9fbd9d829449d691a2b57403a87889","417623","","2023-03-10 17:16:00","2023-03-10 17:17:44","false","false","","","false","false","14","false"
"417633-b52e66ac193647d89b70c438eca19c37","417633","","2023-03-10 17:03:00","2023-03-10 17:03:51","false","false","","","false","false","7","false"
"417691-cc662e711de4433992c5406169f35475","417691","","2023-03-10 13:13:00","2023-03-10 13:13:39","false","false","","","false","false","5","false"
"417809-140032863b5c4b3ba14287f7195c2c8e","417809","417809-e1358e0284bd446c86c9146869834c5a","2023-03-10 04:35:00","2023-03-10 04:37:34","true","false","0.15","","true","true","21","false"
"417950-fa9e2ec0cd6045b3bb8cf0c5ee150ee0","417950","","2023-03-10 18:41:00","2023-03-10 18:42:36","false","true","","0.15","false","false","13","false"
"417958-ca78ac4cc60a47988679d7ad86e127a7","417958","417958-9285bc61a4b14051a0f2a08e09aab348","2023-03-10 01:18:00","2023-03-10 01:20:24","false","false","","","true","true","20","false"
"417964-522cdb27505d4d248074d657fdcd6b00","417964","417964-bf42a303448840c082b131281a53dd51","2023-03-10 22:47:00","2023-03-10 22:49:16","false","false","","","false","true","18","false"
"418001-821b5959eebf43b88a39ab528db31b68","418001","418001-3f3f8ce322d94bb2bcdc45b9881ecd75","2023-03-10 17:33:00","2023-03-10 17:36:31","false","false","","","true","true","29","false"
"418056-511dfbe95b424f0b8d0078e330b49f88","418056","418056-41d23232a9e34d7cbc3a4b9f47ea9439","2023-03-10 13:00:00","2023-03-10 13:03:19","true","false","0.15","","true","true","27","false"
"418099-aad44bd926ca4c6c8ccc067a73671406","418099","418099-9bd12925d8114b3c97eae5a5539becea","2023-03-10 16:45:00","2023-03-10 16:48:22","false","false","","","true","true","27","false"
"418125-531ab29fc5b545c6a64339197dc8462f","418125","418125-d4185cc989464ed8991ab268255c0574","2023-03-10 13:57:00","2023-03-10 13:59:04","true","true","0.05","0.1","true","true","17","false"
"418139-3ec08dca64c4419a82bdc3c2ac62473f","418139","","2023-03-10 17:36:00","2023-03-10 17:36:29","false","false","","","false","false","4","false"
"418187-15ab5a9903eb4d60ab5f5bd675b20101","418187","","2023-03-10 21:30:00","2023-03-10 21:30:53","false","false","","","false","false","7","false"
"418200-7d5aeb2fb1c8487cab9c4e46d57a32e2","418200","","2023-03-10 15:14:00","2023-03-10 15:14:50","false","false","","","false","false","7","false"
"418215-1c616dd103b64be7a52375c7501abe37","418215","","2023-03-10 14:37:00","2023-03-10 14:37:48","false","false","","","false","false","6","false"
"418236-96ad79f6b7b6445990b3aac7efadce2c","418236","418236-3dce51c0d858424cb4193c03b63267aa","2023-03-10 09:51:00","2023-03-10 09:54:38","false","false","","","true","true","29","false"
"418300-cdee592b35b243d598f8afa7a2843f8c","418300","","2023-03-10 15:08:00","2023-03-10 15:08:53","false","false","","","false","false","7","false"
"418312-ac492a727c414b42803f5b50abec414b","418312","418312-f3ebf45ca75d41c78aae308d125c2462","2023-03-10 14:26:00","2023-03-10 14:29:39","false","true","","0.25","true","true","30","false"
"418432-56560bc9ccb44d449baced35b84337d6","418432","418432-33515e22157d4466a00da430fe2efb11","2023-03-10 07:02:00","2023-03-10 07:03:25","true","false","0.15","","false","true","11","false"
"418512-06017594d0004b22a65060677fddd649","418512","418512-14cf3a9aca08478ab15f8b415ff51870","2023-03-10 19:17:00","2023-03-10 19:18:56","true","false","0.05","","true","false","16","false"
"418521-cfcc6fd5ca55425f8f910a840ffc18ff","418521","","2023-03-10 06:09:00","2023-03-10 06:09:31","false","false","","","false","false","4","false"
"418596-c4b72c250cc34bfd9f3b6065a3442d9b","418596","418596-60254e7b8f614d54bf58456af8f6228e","2023-03-10 22:46:00","2023-03-10 22:50:18","false","false","","","true","true","35","false"
"418630-a3026c4e64f24ca79b47ce1a9b84d999","418630","","2023-03-10 18:25:00","2023-03-10 18:27:32","false","false","","","false","false","20","false"
"418643-48cf24fc40254b68b6d202c43e7f0a3c","418643","","2023-03-10 16:34:00","2023-03-10 16:34:22","false","false","","","false","false","3","false"
"418692-34bd602a056d44ca82986de445fce89f","418692","","2023-03-10 21:01:00","2023-03-10 21:01:39","false","false","","","false","false","5","false"
"418696-ba546bc4d6c5497d8155b1b211564cb1","418696","418696-07a6375f088449a79e770119905b2be0","2023-03-10 19:56:00","2023-03-10 19:58:18","false","false","","","true","true","19","false"
"418820-eea770a9eb2b4cc5b32eb09699bf1b93","418820","","2023-03-10 16:24:00","2023-03-10 16:24:32","false","false","","","false","false","4","false"
"418838-fb776774c972489f8d33b4f3e3077395","418838","","2023-03-10 19:02:00","2023-03-10 19:03:00","false","false","","","false","false","8","false"
"418877-5e97b00b39f649c8b379ca23b86f5af0","418877","","2023-03-10 20:42:00","2023-03-10 20:42:59","false","false","","","false","false","8","false"
"418971-c18b1c1142994792b787efbd09759641","418971","418971-953ddcf6c5074f77ae14abd367402983","2023-03-10 21:53:00","2023-03-10 21:56:30","false","false","","","false","true","29","false"
"419003-de5fabb3d2c24ea387ea70be2bb6c0c9","419003","419003-f655586d536d42108fa6ca3c7c9f34b5","2023-03-10 17:54:00","2023-03-10 17:56:33","false","false","","","true","true","21","false"
"419113-8cc088f7474449c29c35f6d79f312b55","419113","","2023-03-10 19:53:00","2023-03-10 19:57:24","false","false","","","false","false","36","false"
"419212-fb7c8469b53340058b4a431e24ace546","419212","419212-709c9e8ab7924c1197da99520fd53140","2023-03-10 19:51:00","2023-03-10 19:53:08","false","false","","","true","true","17","false"
"419228-ac745211a866456cb9939b381953b32a","419228","419228-573e575e413c44b6871998889473c5f3","2023-03-10 15:52:00","2023-03-10 15:54:30","false","false","","","true","true","20","false"
"419240-af8f508be8794e0b8fb1617f8458c9f6","419240","","2023-03-10 17:41:00","2023-03-10 17:47:57","false","false","","","false","false","56","false"
"419325-719476e25bce4f8eb88408465c82a5f6","419325","","2023-03-10 11:07:00","2023-03-10 11:07:27","false","false","","","false","false","4","false"
"419366-f58826d0bf9f490ca663442a83a12054","419366","","2023-03-10 22:09:00","2023-03-10 22:10:23","true","false","0.1","","false","false","11","false"
"419462-e471f3396d4c4855835ce6d7a1114e60","419462","419462-a95bd72219a54258a9aec7f7cb89f9f2","2023-03-10 08:08:00","2023-03-10 08:10:44","true","true","0.2","0.1","true","true","22","false"
"419563-07aa0bd50fc34674b613837988c89841","419563","419563-5a34930183034622a2e5efaf7a36ca1f","2023-03-10 14:24:00","2023-03-10 14:26:57","false","false","","","true","true","24","false"
"419581-acc07f20c50c485da8aa56c33d2a1e22","419581","","2023-03-10 20:04:00","2023-03-10 20:05:44","false","false","","","false","false","14","false"
"419586-47a21fb0fd814e6f867ade3fb588a5a8","419586","","2023-03-10 17:19:00","2023-03-10 17:20:58","true","false","0.15","","false","false","16","false"
"419651-622a8fef8ae247e08a9bc927e24430cb","419651","","2023-03-10 20:30:00","2023-03-10 20:39:05","false","false","","","false","false","73","false"
"419718-0eb9aeec9f1244699619a24b14a581fe","419718","419718-f7fe411584bc4ff5854848fa7f8f93a6","2023-03-10 16:55:00","2023-03-10 16:58:16","false","false","","","true","true","26","false"
"419824-76570d08e79f4b049195db0b4a6ee625","419824","","2023-03-10 13:49:00","2023-03-10 13:49:36","false","false","","","false","false","5","false"
"419852-f542a9a30ac8472d94698aab1cbbb578","419852","419852-91ce37c3426d4550bfab587c609a53a2","2023-03-10 11:13:00","2023-03-10 11:15:35","false","true","","0.1","true","true","21","false"
"419947-14ab0558c55e4727b5c7e7355dc0eeb0","419947","","2023-03-10 13:39:00","2023-03-10 13:39:38","true","false","0.05","","false","false","5","false"
"419948-fc0b9e2fbd8e4f02bdca337d936939a7","419948","","2023-03-10 17:13:00","2023-03-10 17:13:23","false","false","","","false","false","3","false"
"419958-bf6e1a4a15c44d108f51a04af28e9844","419958","419958-9d0fa64a2e654fba990a3b34f42c583d","2023-03-10 18:22:00","2023-03-10 18:23:49","false","false","","","true","false","15","false"
"419977-8a8e449e9b7b4e679ee08daf0c998c56","419977","419977-880db4613258401d9624d88fa9df617b","2023-03-10 21:47:00","2023-03-10 21:49:46","false","false","","","true","false","22","false"
"420017-4a348d5756384b62a97dfcc338036c8f","420017","","2023-03-10 21:31:00","2023-03-10 21:32:06","false","false","","","false","false","9","false"
"420086-4849ed35f2aa4255b2808a10293614c4","420086","","2023-03-10 15:29:00","2023-03-10 15:30:14","false","false","","","false","false","10","false"
"420091-f443b636cf9c4fdc864fd33584db0e6a","420091","","2023-03-10 16:33:00","2023-03-10 16:33:22","false","true","","0.05","false","false","3","false"
"420275-9770659dbb1448039c0160b9dc83aea1","420275","","2023-03-10 11:31:00","2023-03-10 11:32:15","false","false","","","false","false","10","false"
"420281-510586a365954338855482bce3520272","420281","","2023-03-10 21:21:00","2023-03-10 21:22:38","false","false","","","false","false","13","false"
"420401-fbea80f1660a44fdb252b84758786972","420401","420401-cadf30d584b640f0958dd53312a3ab68","2023-03-10 13:08:00","2023-03-10 13:10:27","false","false","","","true","true","20","false"
"420403-e39d126b49f24fee8c3b55d9865de3e2","420403","","2023-03-10 19:17:00","2023-03-10 19:21:56","false","false","","","false","false","40","false"
"420434-4d6eed885a5240d395d59b5f8fd0ce99","420434","420434-087deda49f184223bd47bf1b1ae1a540","2023-03-10 21:41:00","2023-03-10 21:43:17","false","false","","","true","true","19","false"
"420484-34e811732483440d86ed51ddd963b61d","420484","420484-4617792bd8144ca5a6e0d8c7b90c6625","2023-03-10 17:12:00","2023-03-10 17:14:26","false","false","","","true","true","20","false"
"420576-ead09b27f33f4f9d8ff2c11b98861c51","420576","420576-20d5b54dd2c140389aaf0146d83f5073","2023-03-10 21:01:00","2023-03-10 21:04:15","false","false","","","true","true","26","false"
"420589-ecd8ab6c9f7645a5a3342b0026720488","420589","","2023-03-10 18:22:00","2023-03-10 18:22:16","false","false","","","false","false","2","false"
"420620-6b7845609cc84d9f948f0a8f9560c59b","420620","420620-68e963a7737c4b108cebfb0c038b3353","2023-03-10 16:25:00","2023-03-10 16:27:02","false","false","","","true","true","17","false"
"420739-6e7d2448d0314604845d48b0c36ab8a0","420739","","2023-03-10 21:25:00","2023-03-10 21:25:31","false","false","","","false","false","4","false"
"420869-bb27e6ab012e43f782b043f0db5c6b64","420869","420869-dcd8d5a2f9d74f42b9e16171fd6d8a2a","2023-03-10 16:49:00","2023-03-10 16:51:19","false","false","","","true","true","19","false"
"420994-2710a3796c4746628614dfa3d727b2f1","420994","","2023-03-10 22:12:00","2023-03-10 22:12:15","false","false","","","false","false","2","false"
"421010-751c368645bb40188dd9bc3624188c67","421010","","2023-03-10 20:02:00","2023-03-10 20:02:31","false","false","","","false","false","4","false"
"421085-f9763f27e439499088e6ccb7595a1db2","421085","421085-9cb3e5db113c45e98e171aa77606d211","2023-03-10 08:16:00","2023-03-10 08:19:05","false","false","","","true","true","25","false"
"421165-96d4daa720e04312949cbd4a19ce6835","421165","","2023-03-10 19:56:00","2023-03-10 19:56:51","true","false","0.1","","false","false","7","false"
"421363-bb6da82639a44031a5fd0f23c6ff1e12","421363","","2023-03-10 18:47:00","2023-03-10 18:48:24","true","false","0.3","","false","false","11","false"
"421401-ae3b7e8ffd2b44718752ac173d732213","421401","421401-1fbb04eacf654156849ada331abe49d3","2023-03-10 12:50:00","2023-03-10 12:51:37","false","true","","0.05","true","false","13","false"
"421415-987054a0a2e9485db40d3489f9d19392","421415","","2023-03-10 19:14:00","2023-03-10 19:19:41","false","true","","0.25","false","false","46","false"
"421421-80c6d481caae4756a478601ad666f7d8","421421","","2023-03-10 16:52:00","2023-03-10 16:53:10","true","true","0.05","0.05","false","false","9","false"
"421487-62c6c9a74968412fb97c83585ecd62c6","421487","","2023-03-10 22:09:00","2023-03-10 22:09:37","false","true","","0.05","false","false","5","false"
"421526-94c44529fc644d54b07832b25983aa66","421526","","2023-03-10 20:20:00","2023-03-10 20:20:08","false","true","","0.15","false","false","1","false"
"421628-c527edc4d1fa42219abca93be992f262","421628","","2023-03-10 04:32:00","2023-03-10 04:33:07","false","false","","","false","false","9","false"
"421700-ec1fa02e1ba74ab6b89161322dcab2e9","421700","","2023-03-10 20:39:00","2023-03-10 20:40:40","true","false","0.05","","false","false","13","false"
"421701-5b06e7acae6f4809b9040aebeca750c2","421701","","2023-03-10 15:32:00","2023-03-10 15:32:23","true","false","0.05","","false","false","3","false"
"421712-52ae483e4d854ed490e56435152f0cd8","421712","","2023-03-10 17:49:00","2023-03-10 17:49:14","false","false","","","false","false","2","false"
"421733-d31ab8113142438c80a2c71ac43d03b3","421733","","2023-03-10 21:05:00","2023-03-10 21:06:17","true","false","0.05","","false","false","10","false"
"421800-75d4d188bb9c41b7aec0709f7b9375d6","421800","421800-81d8f7d015c74da6b9e65ff0439f453c","2023-03-10 11:00:00","2023-03-10 11:03:20","false","false","","","true","true","27","false"
"421848-2009ebf55d0a43e3935247f1e4e25a47","421848","","2023-03-10 03:13:00","2023-03-10 03:14:32","false","false","","","false","false","12","false"
"421854-c0593dbfbd2c42b587020d8863871e6c","421854","","2023-03-10 09:44:00","2023-03-10 09:46:31","true","false","0.3","","false","false","20","false"
"421857-b08f9858fefc4730a25561ff050f2c63","421857","421857-b08ef3137f784c439cd0100458cc2490","2023-03-10 08:36:00","2023-03-10 08:39:08","false","false","","","true","true","25","false"
"421862-c6c1bd80447747bd808a52f02089781f","421862","","2023-03-10 19:24:00","2023-03-10 19:25:07","false","false","","","false","false","9","false"
"421888-d3c25c45cb2b4a6d9d401d44580139b6","421888","","2023-03-10 12:55:00","2023-03-10 12:55:15","false","false","","","false","false","2","false"
"421931-dd07d200b1b247a0a0d4144aad5dc839","421931","421931-8185979fce5f4259a88caac089edc877","2023-03-10 14:00:00","2023-03-10 14:02:41","false","false","","","true","true","22","false"
"421932-f84db1a8224344429ab0ea4c1ce341fd","421932","421932-8716ee09e0d847eda4a109590b1502d1","2023-03-10 19:08:00","2023-03-10 19:13:55","true","false","0.35","","true","true","48","false"
"421973-57da3b3e81134ac6a29061b91ae79488","421973","","2023-03-10 14:01:00","2023-03-10 14:01:52","false","false","","","false","false","7","false"
"421993-35a7c05b47d94f1dbdf2125384f8f494","421993","","2023-03-10 11:57:00","2023-03-10 11:57:30","false","false","","","false","false","4","false"
"422021-3875e0d66f6f4819b0ace55bb8cd7262","422021","","2023-03-10 17:04:00","2023-03-10 17:04:37","false","false","","","false","false","5","false"
